sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
M,0.455,91,0.365,36.5,0.095,19,0.514,102.8,15,16.5
M,0.35,70,0.265,26.5,0.09,18,0.2255,45.1,7,8.5
F,0.53,106,0.42,42,0.135,27,0.677,135.4,9,10.5
M,0.44,88,0.365,36.5,0.125,25,0.516,103.2,10,11.5
I,0.33,66,0.255,25.5,0.08,16,0.205,41,7,8.5
I,0.425,85,0.3,30,0.095,19,0.3515,70.3,8,9.5
F,0.53,106,0.415,41.5,0.15,30,0.7775,155.5,20,21.5
F,0.545,109,0.425,42.5,0.125,25,0.768,153.6,16,17.5
M,0.475,95,0.37,37,0.125,25,0.5095,101.9,9,10.5
F,0.55,110,0.44,44,0.15,30,0.8945,178.9,19,20.5
F,0.525,105,0.38,38,0.14,28,0.6065,121.3,14,15.5
M,0.43,86,0.35,35,0.11,22,0.406,81.2,10,11.5
M,0.49,98,0.38,38,0.135,27,0.5415,108.3,11,12.5
F,0.535,107,0.405,40.5,0.145,29,0.6845,136.9,10,11.5
F,0.47,94,0.355,35.5,0.1,20,0.4755,95.1,10,11.5
M,0.5,100,0.4,40,0.13,26,0.6645,132.9,12,13.5
I,0.355,71,0.28,28,0.085,17,0.2905,58.1,7,8.5
F,0.44,88,0.34,34,0.1,20,0.451,90.2,10,11.5
M,0.365,73,0.295,29.5,0.08,16,0.2555,51.1,7,8.5
M,0.45,90,0.32,32,0.1,20,0.381,76.2,9,10.5
M,0.355,71,0.28,28,0.095,19,0.2455,49.1,11,12.5
I,0.38,76,0.275,27.5,0.1,20,0.2255,45.1,10,11.5
F,0.565,113,0.44,44,0.155,31,0.9395,187.9,12,13.5
F,0.55,110,0.415,41.5,0.135,27,0.7635,152.7,9,10.5
F,0.615,123,0.48,48,0.165,33,1.1615,232.3,10,11.5
F,0.56,112,0.44,44,0.14,28,0.9285,185.7,11,12.5
F,0.58,116,0.45,45,0.185,37,0.9955,199.1,11,12.5
M,0.59,118,0.445,44.5,0.14,28,0.931,186.2,12,13.5
M,0.605,121,0.475,47.5,0.18,36,0.9365,187.3,15,16.5
M,0.575,115,0.425,42.5,0.14,28,0.8635,172.7,11,12.5
M,0.58,116,0.47,47,0.165,33,0.9975,199.5,10,11.5
F,0.68,136,0.56,56,0.165,33,1.639,327.8,15,16.5
M,0.665,133,0.525,52.5,0.165,33,1.338,267.6,18,19.5
F,0.68,136,0.55,55,0.175,35,1.798,359.6,19,20.5
F,0.705,141,0.55,55,0.2,40,1.7095,341.9,13,14.5
M,0.465,93,0.355,35.5,0.105,21,0.4795,95.9,8,9.5
F,0.54,108,0.475,47.5,0.155,31,1.217,243.4,16,17.5
F,0.45,90,0.355,35.5,0.105,21,0.5225,104.5,8,9.5
F,0.575,115,0.445,44.5,0.135,27,0.883,176.6,11,12.5
M,0.355,71,0.29,29,0.09,18,0.3275,65.5,9,10.5
F,0.45,90,0.335,33.5,0.105,21,0.425,85,9,10.5
F,0.55,110,0.425,42.5,0.135,27,0.8515,170.3,14,15.5
I,0.24,48,0.175,17.5,0.045,9,0.07,14,5,6.5
I,0.205,41,0.15,15,0.055,11,0.042,8.4,5,6.5
I,0.21,42,0.15,15,0.05,10,0.042,8.4,4,5.5
I,0.39,78,0.295,29.5,0.095,19,0.203,40.6,7,8.5
M,0.47,94,0.37,37,0.12,24,0.5795,115.9,9,10.5
F,0.46,92,0.375,37.5,0.12,24,0.4605,92.1,7,8.5
I,0.325,65,0.245,24.5,0.07,14,0.161,32.2,6,7.5
F,0.525,105,0.425,42.5,0.16,32,0.8355,167.1,9,10.5
I,0.52,104,0.41,41,0.12,24,0.595,119,8,9.5
M,0.4,80,0.32,32,0.095,19,0.303,60.6,7,8.5
M,0.485,97,0.36,36,0.13,26,0.5415,108.3,10,11.5
F,0.47,94,0.36,36,0.12,24,0.4775,95.5,10,11.5
M,0.405,81,0.31,31,0.1,20,0.385,77,7,8.5
F,0.5,100,0.4,40,0.14,28,0.6615,132.3,8,9.5
M,0.445,89,0.35,35,0.12,24,0.4425,88.5,8,9.5
M,0.47,94,0.385,38.5,0.135,27,0.5895,117.9,8,9.5
I,0.245,49,0.19,19,0.06,12,0.086,17.2,4,5.5
F,0.505,101,0.4,40,0.125,25,0.583,116.6,7,8.5
M,0.45,90,0.345,34.5,0.105,21,0.4115,82.3,7,8.5
M,0.505,101,0.405,40.5,0.11,22,0.625,125,9,10.5
F,0.53,106,0.41,41,0.13,26,0.6965,139.3,10,11.5
M,0.425,85,0.325,32.5,0.095,19,0.3785,75.7,7,8.5
M,0.52,104,0.4,40,0.12,24,0.58,116,8,9.5
M,0.475,95,0.355,35.5,0.12,24,0.48,96,8,9.5
F,0.565,113,0.44,44,0.16,32,0.915,183,12,13.5
F,0.595,119,0.495,49.5,0.185,37,1.285,257,13,14.5
F,0.475,95,0.39,39,0.12,24,0.5305,106.1,10,11.5
I,0.31,62,0.235,23.5,0.07,14,0.151,30.2,6,7.5
M,0.555,111,0.425,42.5,0.13,26,0.7665,153.3,13,14.5
F,0.4,80,0.32,32,0.11,22,0.353,70.6,8,9.5
F,0.595,119,0.475,47.5,0.17,34,1.247,249.4,20,21.5
M,0.57,114,0.48,48,0.175,35,1.185,237,11,12.5
F,0.605,121,0.45,45,0.195,39,1.098,219.6,13,14.5
F,0.6,120,0.475,47.5,0.15,30,1.0075,201.5,15,16.5
M,0.595,119,0.475,47.5,0.14,28,0.944,188.8,9,10.5
F,0.6,120,0.47,47,0.15,30,0.922,184.4,10,11.5
F,0.555,111,0.425,42.5,0.14,28,0.788,157.6,11,12.5
F,0.615,123,0.475,47.5,0.17,34,1.1025,220.5,14,15.5
F,0.575,115,0.445,44.5,0.14,28,0.941,188.2,9,10.5
M,0.62,124,0.51,51,0.175,35,1.615,323,12,13.5
F,0.52,104,0.425,42.5,0.165,33,0.9885,197.7,16,17.5
M,0.595,119,0.475,47.5,0.16,32,1.3175,263.5,21,22.5
M,0.58,116,0.45,45,0.14,28,1.013,202.6,14,15.5
F,0.57,114,0.465,46.5,0.18,36,1.295,259,12,13.5
M,0.625,125,0.465,46.5,0.14,28,1.195,239,13,14.5
M,0.56,112,0.44,44,0.16,32,0.8645,172.9,10,11.5
F,0.46,92,0.355,35.5,0.13,26,0.517,103.4,9,10.5
F,0.575,115,0.45,45,0.16,32,0.9775,195.5,12,13.5
M,0.565,113,0.425,42.5,0.135,27,0.8115,162.3,15,16.5
M,0.555,111,0.44,44,0.15,30,0.755,151,12,13.5
M,0.595,119,0.465,46.5,0.175,35,1.115,223,13,14.5
F,0.625,125,0.495,49.5,0.165,33,1.262,252.4,10,11.5
M,0.695,139,0.56,56,0.19,38,1.494,298.8,15,16.5
M,0.665,133,0.535,53.5,0.195,39,1.606,321.2,14,15.5
M,0.535,107,0.435,43.5,0.15,30,0.725,145,9,10.5
M,0.47,94,0.375,37.5,0.13,26,0.523,104.6,8,9.5
M,0.47,94,0.37,37,0.13,26,0.5225,104.5,7,8.5
F,0.475,95,0.375,37.5,0.125,25,0.5785,115.7,10,11.5
I,0.36,72,0.265,26.5,0.095,19,0.2315,46.3,7,8.5
M,0.55,110,0.435,43.5,0.145,29,0.843,168.6,15,16.5
M,0.53,106,0.435,43.5,0.16,32,0.883,176.6,15,16.5
M,0.53,106,0.415,41.5,0.14,28,0.724,144.8,10,11.5
M,0.605,121,0.47,47,0.16,32,1.1735,234.7,12,13.5
F,0.52,104,0.41,41,0.155,31,0.727,145.4,12,13.5
F,0.545,109,0.43,43,0.165,33,0.802,160.4,11,12.5
F,0.5,100,0.4,40,0.125,25,0.6675,133.5,10,11.5
F,0.51,102,0.39,39,0.135,27,0.6335,126.7,9,10.5
F,0.435,87,0.395,39.5,0.105,21,0.3635,72.7,9,10.5
M,0.495,99,0.395,39.5,0.125,25,0.5415,108.3,9,10.5
M,0.465,93,0.36,36,0.105,21,0.431,86.2,9,10.5
I,0.435,87,0.32,32,0.08,16,0.3325,66.5,9,10.5
M,0.425,85,0.35,35,0.105,21,0.393,78.6,9,10.5
F,0.545,109,0.41,41,0.125,25,0.6935,138.7,11,12.5
F,0.53,106,0.415,41.5,0.115,23,0.5915,118.3,11,12.5
F,0.49,98,0.375,37.5,0.135,27,0.6125,122.5,11,12.5
M,0.44,88,0.34,34,0.105,21,0.402,80.4,10,11.5
F,0.56,112,0.43,43,0.15,30,0.8825,176.5,9,10.5
M,0.405,81,0.305,30.5,0.085,17,0.2605,52.1,8,9.5
F,0.47,94,0.365,36.5,0.105,21,0.4205,84.1,9,10.5
I,0.385,77,0.295,29.5,0.085,17,0.2535,50.7,7,8.5
F,0.515,103,0.425,42.5,0.14,28,0.766,153.2,14,15.5
M,0.37,74,0.265,26.5,0.075,15,0.214,42.8,6,7.5
I,0.36,72,0.28,28,0.08,16,0.1755,35.1,6,7.5
I,0.27,54,0.195,19.5,0.06,12,0.073,14.6,5,6.5
I,0.375,75,0.275,27.5,0.09,18,0.238,47.6,6,7.5
I,0.385,77,0.29,29,0.085,17,0.2505,50.1,8,9.5
M,0.7,140,0.535,53.5,0.16,32,1.7255,345.1,19,20.5
M,0.71,142,0.54,54,0.165,33,1.959,391.8,18,19.5
M,0.595,119,0.48,48,0.165,33,1.262,252.4,17,18.5
F,0.44,88,0.35,35,0.125,25,0.4035,80.7,9,10.5
F,0.325,65,0.26,26,0.09,18,0.1915,38.3,7,8.5
I,0.35,70,0.26,26,0.095,19,0.211,42.2,7,8.5
I,0.265,53,0.2,20,0.065,13,0.0975,19.5,7,8.5
F,0.425,85,0.33,33,0.115,23,0.406,81.2,8,9.5
F,0.305,61,0.23,23,0.08,16,0.156,31.2,7,8.5
M,0.345,69,0.255,25.5,0.09,18,0.2005,40.1,9,10.5
